ID,Title,Poet,Category,Language,Status
1,"Sonnet 18","William Shakespeare","Sonnet",en,published
2,"Where the Mind Is Without Fear","Rabindranath Tagore","Free Verse",bn,published
3,"'Mighty Eagle'","Percy Bysshe Shelley","Love",en,draft
4,"The Burns Statue","William Topaz McGonagall","Love",en,draft
5,"The Canterbury Tales. The Clerk's Tale.","Geoffrey Chaucer","Love",en,draft
6,"The Flower","Lord Alfred Tennyson","Love",en,draft
7,"Paradise Regained: The First Book","John Milton","Love",en,draft
8,"The Demon Drink","William Topaz McGonagall","Love",en,draft
9,"Fragment: The False Laurel and the True","Percy Bysshe Shelley","Love",en,draft
10,"38. Epitaph on my Ever Honoured Father","Robert Burns","Love",en,draft
11,"Oedipus Tyrannus or Swellfoot the Tyrant. a Tragedy in Two Acts","Percy Bysshe Shelley","Love",en,draft
12,"Stanzas to a Lady; on Leaving England","George Gordon, Lord Byron","Love",en,draft
13,"Oh! Weep for Those","George Gordon, Lord Byron","Love",en,draft
14,"Fragment: Music and Sweet Poetry","Percy Bysshe Shelley","Love",en,draft
15,"Farewell to the Muse","George Gordon, Lord Byron","Love",en,draft
16,"Prometheus Unbound.  a Lyrical Drama in Four Acts","Percy Bysshe Shelley","Love",en,draft
17,"Song from Arcadia","Sir Philip Sidney","Love",en,draft
18,"The Canterbury Tales. The Franklin's Tale.","Geoffrey Chaucer","Love",en,draft
19,"Men Are Heaven's Piers","Robert Louis Stevenson","Love",en,draft
20,"Parisina","George Gordon, Lord Byron","Love",en,draft
21,"Paradise Lost: Book 11","John Milton","Love",en,draft
22,"Sonnet 104: To me; fair friend; you never can be old","William Shakespeare","Love",en,draft
23,"Childe Roland to the Dark Tower Came","Robert Browning","Love",en,draft
24,"To a Star","Percy Bysshe Shelley","Love",en,draft
25,"That Music Always Round Me.","Walt Whitman","Love",en,draft
26,"Alastor: Or; the Spirit of Solitude","Percy Bysshe Shelley","Love",en,draft
27,"The Canterbury Tales. The Friar's Tale.","Geoffrey Chaucer","Love",en,draft
28,"Ode to the Goddess Ceres","Thomas Moore","Love",en,draft
29,"Instans Tyrannus","Robert Browning","Love",en,draft
30,"Goliath Of Gath","Phillis Wheatley","Love",en,draft
31,"Epitaph. Intended for Mr Rowe; in Westminster Abbey.","Alexander Pope","Love",en,draft
32,"Gareth And Lynette","Lord Alfred Tennyson","Love",en,draft
33,"The Island","George Gordon, Lord Byron","Love",en,draft
34,"A man went before a strange God","Stephen Crane","Love",en,draft
35,"For These","Edward Thomas","Love",en,draft
36,"Peace","George Herbert","Love",en,draft
37,"Epigram.  From the French of RulhièRes","George Gordon, Lord Byron","Love",en,draft
38,"26. John Barleycorn: A Ballad","Robert Burns","Love",en,draft
39,"The Boat on the Serchio","Percy Bysshe Shelley","Love",en,draft
40,"Fare Thee Well","George Gordon, Lord Byron","Love",en,draft
41,"Sir Galahad; a Christmas Mystery","William Morris","Love",en,draft
42,"The Witch of Atlas","Percy Bysshe Shelley","Love",en,draft
43,"Fragment: To a Friend Released From Prison","Percy Bysshe Shelley","Love",en,draft
44,"At A Solemn Musick","John Milton","Love",en,draft
45,"TO HIS KINSWOMAN; MISTRESS SUSANNA HERRICK","Robert Herrick","Love",en,draft
46,"Before The Paling Of The Stars","Christina Rossetti","Love",en,draft
47,"A Dream Within A Dream","Edgar Allan Poe","Love",en,draft
48,"Lines Written on a Blank Leaf of _the Pleasures of Memory_","George Gordon, Lord Byron","Love",en,draft
49,"Childe Harold's Pilgrimage","George Gordon, Lord Byron","Love",en,draft
50,"Mesmerism","Robert Browning","Love",en,draft
51,"The Canterbury Tales. The Reeve's Tale.","Geoffrey Chaucer","Love",en,draft
52,"Locksley Hall","Lord Alfred Tennyson","Love",en,draft
53,"My Star","Robert Browning","Love",en,draft
54,"Sardanapalus","George Gordon, Lord Byron","Love",en,draft
55,"Starting from Paumanok.","Walt Whitman","Love",en,draft
56,"My Springs","Sidney Lanier","Love",en,draft
57,"Farm Breakfast","John Clare","Love",en,draft
58,"In Drear-Nighted December","John Keats","Love",en,draft
59,"Inscription on the Monument of a Newfoundland Dog","George Gordon, Lord Byron","Love",en,draft
60,"The Path","Edward Thomas","Love",en,draft
61,"Soliloquy of a Bard in the Country","George Gordon, Lord Byron","Love",en,draft
62,"Prince Athanase.  a Fragment","Percy Bysshe Shelley","Love",en,draft
63,"Troilus and Criseyde: Book III","Geoffrey Chaucer","Love",en,draft
64,"The Book of Thel. Part III","William Blake","Love",en,draft
65,"Geraint And Enid","Lord Alfred Tennyson","Love",en,draft
66,"The Daemon of the World","Percy Bysshe Shelley","Love",en,draft
67,"A Dialogue","Percy Bysshe Shelley","Love",en,draft
68,"The Princess (part 3)","Lord Alfred Tennyson","Love",en,draft
69,"Beppo: A Venetian Story","George Gordon, Lord Byron","Love",en,draft
70,"The Son Of The Evening Star","Henry Wadsworth Longfellow","Love",en,draft
71,"Ode on Venice","George Gordon, Lord Byron","Love",en,draft
